"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 06 08:57:08 GMT+01:00 2025","Sat Dec 06 08:57:11 GMT+01:00 2025","2525","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Fri Dec 05 21:50:17 GMT+01:00 2025","Fri Dec 05 21:50:19 GMT+01:00 2025","2452","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Fri Dec 05 21:56:24 GMT+01:00 2025","Fri Dec 05 21:56:30 GMT+01:00 2025","6130","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Fri Dec 05 21:13:38 GMT+01:00 2025","Fri Dec 05 21:13:41 GMT+01:00 2025","2993","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","Test Case - Automate User Registration process",""
"broken","Sat Dec 06 09:44:26 GMT+01:00 2025","Sat Dec 06 09:44:27 GMT+01:00 2025","677","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 09:43:31 GMT+01:00 2025","Sat Dec 06 09:43:33 GMT+01:00 2025","2105","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Sat Dec 06 09:00:17 GMT+01:00 2025","Sat Dec 06 09:00:18 GMT+01:00 2025","1011","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"broken","Sat Dec 06 10:37:04 GMT+01:00 2025","Sat Dec 06 10:37:04 GMT+01:00 2025","160","Suite","Test","tests.LogOutPageTest","tests.LogOutPageTest","logOutPageTest","logOutPageTest",""
"passed","Fri Dec 05 21:11:40 GMT+01:00 2025","Fri Dec 05 21:11:43 GMT+01:00 2025","3417","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","Test Case - Automate User Registration process",""
"passed","Sat Dec 06 09:45:51 GMT+01:00 2025","Sat Dec 06 09:45:52 GMT+01:00 2025","1057","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 10:36:48 GMT+01:00 2025","Sat Dec 06 10:36:53 GMT+01:00 2025","4921","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Sat Dec 06 09:43:36 GMT+01:00 2025","Sat Dec 06 09:43:37 GMT+01:00 2025","1189","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 10:24:32 GMT+01:00 2025","Sat Dec 06 10:24:34 GMT+01:00 2025","2447","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Fri Dec 05 21:12:39 GMT+01:00 2025","Fri Dec 05 21:12:45 GMT+01:00 2025","5785","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","Test Case - Automate User Registration process",""
"passed","Fri Dec 05 21:15:36 GMT+01:00 2025","Fri Dec 05 21:15:40 GMT+01:00 2025","3305","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Fri Dec 05 21:42:15 GMT+01:00 2025","Fri Dec 05 21:42:20 GMT+01:00 2025","4591","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Fri Dec 05 21:50:07 GMT+01:00 2025","Fri Dec 05 21:50:12 GMT+01:00 2025","4441","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"broken","Fri Dec 05 21:50:23 GMT+01:00 2025","Fri Dec 05 21:50:23 GMT+01:00 2025","46","Suite","Test","tests.LogOutPageTest","tests.LogOutPageTest","logouTest","logouTest",""
"passed","Fri Dec 05 21:56:35 GMT+01:00 2025","Fri Dec 05 21:56:37 GMT+01:00 2025","2087","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 09:45:46 GMT+01:00 2025","Sat Dec 06 09:45:48 GMT+01:00 2025","2271","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Sat Dec 06 10:36:57 GMT+01:00 2025","Sat Dec 06 10:36:59 GMT+01:00 2025","1648","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Fri Dec 05 21:54:55 GMT+01:00 2025","Fri Dec 05 21:55:00 GMT+01:00 2025","5064","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Sat Dec 06 09:34:57 GMT+01:00 2025","Sat Dec 06 09:34:59 GMT+01:00 2025","2421","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
